dataset,model,signal,coverage,selective_accuracy,risk
MedMentions,Llama3-OpenBioLLM-8B,combined,0.45,0.3438914027149321,0.6561085972850679
MedMentions,Llama3-OpenBioLLM-8B,combined,0.4,0.3553299492385787,0.6446700507614214
MedMentions,Llama3-OpenBioLLM-8B,combined,0.35,0.3430232558139535,0.6569767441860466
MedMentions,Llama3-OpenBioLLM-8B,combined,0.3,0.34459459459459457,0.6554054054054055
MedMentions,Llama3-OpenBioLLM-8B,combined,0.25,0.34146341463414637,0.6585365853658536
MedMentions,Llama3-OpenBioLLM-8B,combined,0.2,0.3838383838383838,0.6161616161616161
MedMentions,Llama3-OpenBioLLM-8B,combined,0.15,0.4864864864864865,0.5135135135135135
MedMentions,Llama3-OpenBioLLM-8B,combined,0.1,0.6,0.4
MedMentions,Llama3-OpenBioLLM-8B,entropy,1.0,0.22810590631364563,0.7718940936863543
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.95,0.23554603854389722,0.7644539614561028
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.9,0.2420814479638009,0.7579185520361991
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.85,0.2535885167464115,0.7464114832535885
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.8,0.26463104325699743,0.7353689567430026
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.75,0.27371273712737126,0.7262872628726287
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.7,0.2877906976744186,0.7122093023255813
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.65,0.30625,0.69375
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.6,0.3152542372881356,0.6847457627118644
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.55,0.3210332103321033,0.6789667896678967
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.5,0.32926829268292684,0.6707317073170731
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.45,0.334841628959276,0.6651583710407241
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.4,0.3197969543147208,0.6802030456852792
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.35,0.3430232558139535,0.6569767441860466
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.3,0.34459459459459457,0.6554054054054055
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.25,0.34959349593495936,0.6504065040650406
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.2,0.32323232323232326,0.6767676767676767
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.15,0.33783783783783783,0.6621621621621622
MedMentions,Llama3-OpenBioLLM-8B,entropy,0.1,0.32,0.6799999999999999
MedMentions,Llama3-OpenBioLLM-8B,mapping_confidence,1.0,0.22810590631364563,0.7718940936863543
MedMentions,Llama3-OpenBioLLM-8B,mapping_confidence,0.95,0.23126338329764454,0.7687366167023555
MedMentions,Llama3-OpenBioLLM-8B,mapping_confidence,0.9,0.23755656108597284,0.7624434389140271
