dataset,model,signal,coverage,selective_accuracy,risk
CADEC,FLAN-T5-base,entropy,0.15,0.3078730904817861,0.6921269095182139
CADEC,FLAN-T5-base,entropy,0.1,0.31922398589065254,0.6807760141093475
CADEC,FLAN-T5-base,mapping_confidence,1.0,0.20518701482004234,0.7948129851799577
CADEC,FLAN-T5-base,mapping_confidence,0.95,0.20724233983286908,0.7927576601671309
CADEC,FLAN-T5-base,mapping_confidence,0.9,0.20560564484515875,0.7943943551548412
CADEC,FLAN-T5-base,mapping_confidence,0.85,0.20672478206724781,0.7932752179327522
CADEC,FLAN-T5-base,mapping_confidence,0.8,0.20661521499448732,0.7933847850055127
CADEC,FLAN-T5-base,mapping_confidence,0.75,0.208656786638438,0.791343213361562
CADEC,FLAN-T5-base,mapping_confidence,0.7,0.21018145161290322,0.7898185483870968
CADEC,FLAN-T5-base,mapping_confidence,0.65,0.2130257801899593,0.7869742198100407
CADEC,FLAN-T5-base,mapping_confidence,0.6,0.2149367832990297,0.7850632167009703
CADEC,FLAN-T5-base,mapping_confidence,0.55,0.21648492623476587,0.7835150737652341
CADEC,FLAN-T5-base,mapping_confidence,0.5,0.21594918842625266,0.7840508115737473
CADEC,FLAN-T5-base,mapping_confidence,0.45,0.21481771854174833,0.7851822814582516
CADEC,FLAN-T5-base,mapping_confidence,0.4,0.21340388007054673,0.7865961199294533
CADEC,FLAN-T5-base,mapping_confidence,0.35,0.23084677419354838,0.7691532258064516
CADEC,FLAN-T5-base,mapping_confidence,0.3,0.25044091710758376,0.7495590828924162
CADEC,FLAN-T5-base,mapping_confidence,0.25,0.2646436132674665,0.7353563867325335
CADEC,FLAN-T5-base,mapping_confidence,0.2,0.291005291005291,0.7089947089947091
CADEC,FLAN-T5-base,mapping_confidence,0.15,0.33490011750881316,0.6650998824911869
CADEC,FLAN-T5-base,mapping_confidence,0.1,0.4144620811287478,0.5855379188712522
CADEC,FLAN-T5-base,random,1.0,0.20518701482004237,0.7948129851799577
CADEC,FLAN-T5-base,random,0.95,0.20484679665738162,0.7951532033426184
CADEC,FLAN-T5-base,random,0.9,0.20509604076832613,0.7949039592316739
CADEC,FLAN-T5-base,random,0.85,0.20495018679950183,0.7950498132004982
CADEC,FLAN-T5-base,random,0.8,0.20523704520396913,0.7947629547960309
CADEC,FLAN-T5-base,random,0.75,0.20529287226534937,0.7947071277346507
CADEC,FLAN-T5-base,random,0.7,0.20538054435483874,0.7946194556451612
CADEC,FLAN-T5-base,random,0.65,0.2053459972862958,0.7946540027137042
CADEC,FLAN-T5-base,random,0.6,0.20579241399588355,0.7942075860041165
CADEC,FLAN-T5-base,random,0.55,0.20546824887748558,0.7945317511225144
CADEC,FLAN-T5-base,random,0.5,0.20654551870148202,0.793454481298518
CADEC,FLAN-T5-base,random,0.45,0.2064092512740102,0.7935907487259898
CADEC,FLAN-T5-base,random,0.4,0.20749559082892413,0.7925044091710759
CADEC,FLAN-T5-base,random,0.35,0.2072076612903226,0.7927923387096774
CADEC,FLAN-T5-base,random,0.3,0.2069664902998236,0.7930335097001764
CADEC,FLAN-T5-base,random,0.25,0.20733944954128442,0.7926605504587156
CADEC,FLAN-T5-base,random,0.2,0.2069664902998236,0.7930335097001764
CADEC,FLAN-T5-base,random,0.15,0.21045828437132785,0.7895417156286721
CADEC,FLAN-T5-base,random,0.1,0.21181657848324514,0.7881834215167549
CADEC,Llama3-OpenBioLLM-8B,combined,1.0,0.42212030340448053,0.5778796965955195
CADEC,Llama3-OpenBioLLM-8B,combined,0.95,0.4422577051615299,0.55774229483847
CADEC,Llama3-OpenBioLLM-8B,combined,0.9,0.46678424456202233,0.5332157554379777
CADEC,Llama3-OpenBioLLM-8B,combined,0.85,0.4942934218717576,0.5057065781282424
CADEC,Llama3-OpenBioLLM-8B,combined,0.8,0.5251322751322751,0.4748677248677249
CADEC,Llama3-OpenBioLLM-8B,combined,0.75,0.5602069614299153,0.43979303857008467
CADEC,Llama3-OpenBioLLM-8B,combined,0.7,0.600151171579743,0.39984882842025704
CADEC,Llama3-OpenBioLLM-8B,combined,0.65,0.64640434192673,0.35359565807327
CADEC,Llama3-OpenBioLLM-8B,combined,0.6,0.7001763668430335,0.2998236331569665
CADEC,Llama3-OpenBioLLM-8B,combined,0.55,0.7459910198845414,0.2540089801154586
CADEC,Llama3-OpenBioLLM-8B,combined,0.5,0.7474426807760141,0.25255731922398594
CADEC,Llama3-OpenBioLLM-8B,combined,0.45,0.747257053291536,0.252742946708464
CADEC,Llama3-OpenBioLLM-8B,combined,0.4,0.7464726631393298,0.2535273368606702
